International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website
2021-135A,,Communications Technology Test Satellite 9 (TJS-9) ,China,12/29/2021,,Yes,ST/SG/SER.E/1123,,in GSO,,Communications satellite,------,
2021-134A,,Tianhui 4-A ,China,12/29/2021,,Yes,ST/SG/SER.E/1123,,in orbit,,Remote sensing satellite,------,
2021-134B,,Tianhui 4-B ,China,12/29/2021,,Yes,ST/SG/SER.E/1123,,in orbit,,Remote sensing satellite,------,
2021-132A,50469,OWLID000359 (SL0389) [ONEWEB 0389],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
2021-132AA,50493,OWLID000383 (SL0418) [ONEWEB 0418],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
2021-132AB,50494,OWLID000384 (SL0419) [ONEWEB 0419],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
2021-132AC,50495,OWLID000385 (SL0420) [ONEWEB 0420],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
2021-132AH,50500,OWLID000390 (SL0429) [ONEWEB 0429],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
2021-132K,50478,OWLID000368 (SL0398) [ONEWEB 0398],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
2021-132L,50479,OWLID000369 (SL0399) [ONEWEB 0399],United Kingdom,12/27/2021,,Yes,ST/SG/SER.E/1037,ST/SG/SER.E/1038,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 23 July 2022. Mentioned by the Russian Federation in ST/SG/SER.E/1038.,
