International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website,_year
2020-104A,,CSO 2 ,France,12/29/2020,,Yes,ST/SG/SER.E/982,,in orbit,,Earth observation,------,,2020
2020-103A,,Yaogan 33 ,China,12/27/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Remote sensing satellite,------,,2020
2020-103B,,Weina 2 ,China,12/27/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Remote sensing satellite,------,,2020
2020-102B,,Haisi 1 ,China,12/22/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Used for space science experiments and technological verification,------,,2020
2020-102E,,SMART01 A [ET SMART-RSS],China,12/22/2020,,Yes,ST/SG/SER.E/1033,,[decayed],[2023-10-21],Earth observation satellite,------,,2020
2020-102D,,Tianqi 8 ,China,12/22/2020,[------],Yes,ST/SG/SER.E/1033,,[decayed],[2024-06-14],Communications satellite,------,,2020
2020-102A,,Yuanguang ,China,12/22/2020,[------],Yes,ST/SG/SER.E/1033,,[decayed],[2024-06-15],Used for space science experiments and technological verification,------,,2020
2020-101A,,USA 312 ,USA,12/19/2020,,Yes,ST/SG/SER.E/971,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-101B,,USA 313 ,USA,12/19/2020,,Yes,ST/SG/SER.E/971,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-100F,47263,OWLID00080 (SL0117) [ONEWEB 0117],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AF,47287,OWLID00104 (SL0141) [ONEWEB 0141],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AH,47289,OWLID00106 (SL0143) [ONEWEB 0143],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100Z,47281,OWLID00098 (SL0135) [ONEWEB 0135],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AB,47283,OWLID00100 (SL0137) [ONEWEB 0137],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AC,47284,OWLID00101 (SL0138) [ONEWEB 0138],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AD,47285,OWLID00102 (SL0139) [ONEWEB 0139],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AE,47286,OWLID00103 (SL0140) [ONEWEB 0140],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AG,47288,OWLID00105 (SL0142) [ONEWEB 0142],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AA,47282,OWLID00099 (SL0136) [ONEWEB 0136],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
